;date;SPD;Union;Grüne;FDP;AfD;Linke;FW;Andere;standardized_war_articles
0;22.12.2023;14;32;14;5;21;3;4;7;0.14973011358716448
1;07.12.2023;14;32;15;4;21;3;3;8;0.1697404597572286
2;10.11.2023;15;30;15;5;21;4;3;7;0.19350311922193258
3;02.11.2023;16;30;14;4;22;5;3;6;0.17906043218543216
4;13.10.2023;15;29;13;5;23;4;4;7;0.19523574914239872
5;28.09.2023;16;28;14;6;22;4;3;7;0.12629616851628236
6;15.09.2023;16;28;15;7;22;4;-;8;0.08780307981839092
7;31.08.2023;16;29;14;6;22;4;-;9;0.058248661970429085
8;18.08.2023;17;27;14;7;21;4;-;10;0.10069728520386412
9;04.08.2023;17;27;15;7;21;4;-;9;0.12220387852660723
10;21.07.2023;18;28;13;7;20;4;-;10;0.09785501324975006
11;06.07.2023;18;28;14;7;20;4;-;9;0.13390966428466428
12;23.06.2023;17;29;15;6;19;4;-;10;0.10864113910263377
13;01.06.2023;18;29;15;7;18;4;-;9;0.14629948019332223
14;12.05.2023;18;28;16;8;16;5;-;9;0.12677145611928214
15;04.05.2023;17;30;16;7;16;5;-;9;0.12900299700299694
16;14.04.2023;19;29;17;7;15;4;-;9;0.14507791500438555
17;06.04.2023;18;30;17;7;15;4;-;9;0.09164308784862618
18;17.03.2023;18;30;16;7;15;5;-;9;0.10004084338057
19;02.03.2023;18;31;17;6;14;5;-;9;0.18965720949995654
20;17.02.2023;19;29;17;6;15;5;-;9;0.09647475142124201
21;02.02.2023;20;27;18;7;15;4;-;9;0.13080713926972481
22;19.01.2023;19;29;19;6;14;4;-;9;0.11810984035970626
23;05.01.2023;18;29;19;6;15;5;-;8;0.14953517966224264
24;09.12.2022;18;29;18;6;15;5;-;9;0.12449004462616076
25;01.12.2022;18;30;18;5;15;5;-;9;0.13839804178635395
26;11.11.2022;18;28;19;7;14;4;-;10;0.08707729226984678
27;03.11.2022;19;28;19;6;14;5;-;9;0.12436796435272043
28;14.10.2022;19;26;20;6;15;5;-;9;0.13545191914372962
29;06.10.2022;17;28;19;7;15;5;-;9;0.08846063668817834
30;16.09.2022;17;28;21;7;14;5;-;8;0.12908449302514519
31;01.09.2022;17;27;22;8;13;5;-;8;0.13555613874088396
32;19.08.2022;18;28;23;7;12;4;-;8;0.15233435366176096
33;04.08.2022;17;28;23;7;13;4;-;8;0.1489584225325913
34;22.07.2022;19;27;22;7;12;4;-;9;0.11810653685653685
35;07.07.2022;19;27;23;8;11;4;-;8;0.1247703231439465
36;24.06.2022;20;26;23;8;12;4;-;7;0.10677951110028212
37;02.06.2022;21;27;21;8;11;4;-;8;0.14581038346428218
38;13.05.2022;22;26;20;8;11;4;-;9;0.20420693292403813
39;28.04.2022;24;26;18;9;11;3;-;9;0.2167355319525171
40;14.04.2022;24;26;18;8;11;4;-;9;0.23776622248315551
41;07.04.2022;24;25;19;9;11;4;-;8;0.2838470029071821
42;18.03.2022;25;26;17;9;11;4;-;8;0.3122212735381273
43;03.03.2022;25;26;16;9;11;5;-;8;0.2815752977483762
44;18.02.2022;24;26;15;9;12;5;-;9;0.0757654123296643
45;03.02.2022;22;27;16;10;12;5;-;8;0.10806695651233464
46;21.01.2022;25;24;16;10;12;5;-;8;0.07631528093572848
47;06.01.2022;26;23;16;11;11;5;-;8;0.04021907916644757
48;10.12.2021;26;23;16;12;11;5;-;7;0.05025090334400153
49;02.12.2021;25;23;17;12;11;5;-;7;0.0181584578934291
50;26.11.2021;25;21;17;13;11;5;-;8;0.013621322180644203
51;04.11.2021;27;21;16;13;10;5;-;8;0.04595397215300232
52;29.10.2021;26;22;16;13;10;4;-;9;0.05389686148054508
53;16.09.2021;26;22;15;11;11;6;3;6;0.01738095238095237
54;02.09.2021;25;20;16;13;12;6;-;8;0.03814118239767332
55;20.08.2021;21;23;17;13;11;7;-;8;0.02211469534050177
56;05.08.2021;18;27;19;12;10;6;-;8;0.052165115508569004
57;23.07.2021;16;29;19;12;10;6;-;8;0.03184183942661373
58;01.07.2021;15;28;20;11;11;7;-;8;0.0545312345312345
59;25.06.2021;15;28;21;11;12;6;3;4;0.02679765872990288
60;10.06.2021;14;28;20;12;12;7;-;7;0.012548913971622572
61;14.05.2021;15;24;25;12;11;7;-;6;0.06463485136946488
62;06.05.2021;14;23;26;11;12;6;3;5;0.0243253968253968
63;16.04.2021;15;28;21;11;11;7;-;7;0.05989861445743796
64;01.04.2021;16;27;22;9;11;7;-;8;0.020030022974101912
65;19.03.2021;17;29;20;9;11;7;-;7;0.03954065225888074
66;04.03.2021;16;33;20;7;11;7;-;6;0.04187590715498755
67;19.02.2021;16;33;20;8;11;6;-;6;0.02414698092578662
68;04.02.2021;15;34;21;8;10;6;-;6;0.005498533724340169
69;22.01.2021;15;34;21;7;10;6;-;7;0.01267452354408875
70;07.01.2021;14;35;21;7;10;7;-;6;0.031525092554504294
71;11.12.2020;16;36;20;6;9;7;-;6;0.015851449380861117
72;03.12.2020;15;36;21;6;10;7;-;5;0.03723150203154843
73;27.11.2020;15;35;21;7;11;7;-;4;0.04142507168822955
74;12.11.2020;15;36;20;6;10;7;-;6;0.03689422448540987
75;16.10.2020;15;35;20;6;11;7;-;6;0.04233513626895978
76;01.10.2020;15;35;21;6;10;8;-;5;0.06414982573070807
77;18.09.2020;16;36;20;5;10;8;-;5;0.02300573993276589
78;03.09.2020;17;36;19;6;10;7;-;5;0.03930260993286201
79;21.08.2020;16;37;17;6;10;8;-;6;0.032381373012951936
80;06.08.2020;15;38;18;6;11;7;-;5;0.06395205276141644
81;24.07.2020;14;37;20;5;11;7;-;6;0.03563214185195608
82;02.07.2020;16;37;20;5;10;7;-;5;0.03875429131840738
83;26.06.2020;16;37;20;5;10;7;-;5;0.03578682369004947
84;04.06.2020;15;38;19;6;9;8;-;5;0.02164239111500773
85;15.05.2020;15;38;18;6;10;7;-;6;0.036652189147813354
86;07.05.2020;16;39;18;5;9;8;-;5;0.035803361759980196
87;17.04.2020;17;38;19;5;9;7;-;5;0.02671739509200809
88;02.04.2020;16;34;22;5;10;7;-;6;0.02956872404134066
89;20.03.2020;14;30;23;7;10;9;-;7;0.027355665394458478
90;05.03.2020;16;27;23;6;12;9;-;7;0.03891906071926354
91;13.02.2020;16;26;22;7;14;9;-;6;0.02399712052653227
92;06.02.2020;14;27;22;8;14;9;-;6;0.02543151922689126
93;24.01.2020;14;26;24;8;14;8;-;6;0.0604718789281951
94;09.01.2020;13;27;23;9;14;8;-;6;0.13977215794957726
95;13.12.2019;14;27;21;8;15;8;-;7;0.05673760936524107
96;05.12.2019;13;25;23;9;15;8;-;7;0.04096301653248982
97;15.11.2019;15;25;22;7;14;9;-;8;0.03161523143828833
98;07.11.2019;14;26;22;8;14;9;-;7;0.03979764585696786
99;18.10.2019;14;28;22;7;14;8;-;7;0.045265021074343076
100;11.10.2019;13;28;24;7;14;8;-;6;0.02802892945520029
101;20.09.2019;14;27;23;8;14;8;-;6;0.08531519152344717
102;05.09.2019;14;27;23;7;15;7;-;7;0.01026988482028352
103;23.08.2019;14;26;25;7;14;7;-;7;0.0593958740084776
104;01.08.2019;12;26;26;8;14;7;-;7;0.07368234981392874
105;26.07.2019;13;26;26;9;12;8;-;6;0.052776214884209284
106;04.07.2019;13;25;26;8;13;8;-;7;0.060171596863733266
107;28.06.2019;13;26;25;9;12;7;-;8;0.05231531386305947
108;06.06.2019;12;25;26;8;13;7;-;9;0.04265237734285414
109;17.05.2019;17;29;18;8;13;8;-;7;0.07320261105443622
110;02.05.2019;18;28;20;8;12;9;-;5;0.052040481611095965
111;18.04.2019;16;29;21;8;13;8;-;5;0.0222222222222222
112;04.04.2019;17;29;20;9;12;8;-;5;0.02224952224952224
113;22.03.2019;18;29;19;9;12;8;-;5;0.03215599315685595
114;15.03.2019;17;29;19;8;13;9;-;5;0.0418017397119564
115;22.02.2019;18;30;18;8;12;8;-;6;0.02478340831282006
116;14.02.2019;17;29;19;9;13;8;-;5;0.015539498724853409
117;25.01.2019;15;28;20;9;15;8;-;5;0.00222222222222222
118;10.01.2019;15;29;20;9;14;9;-;4;0.05543522397162435
119;14.12.2018;15;31;20;8;13;8;-;5;0.0133175576217183
120;06.12.2018;14;30;20;8;14;8;-;6;0.07085886531091459
121;30.11.2018;14;28;21;9;15;8;-;5;0.062028085735402805
122;15.11.2018;14;26;23;8;14;9;-;6;0.05609832872853789
123;19.10.2018;14;25;19;11;16;9;-;6;0.01390849142491572
124;11.10.2018;15;26;17;10;16;10;-;6;0.03160652211785039
125;21.09.2018;17;28;15;9;18;10;-;3;0.028202005226969452
126;06.09.2018;18;29;14;8;16;10;-;5;0.02258692919983241
127;24.08.2018;18;29;14;8;17;9;-;5;0.026640396554189632
128;02.08.2018;18;29;15;7;17;9;-;5;0.02925813256695608
129;27.07.2018;18;30;15;8;16;8;-;5;0.029483865167688687
130;05.07.2018;18;30;14;8;16;9;-;5;0.03654114813935096
131;28.06.2018;19;32;13;8;14;9;-;5;0.031041831304989182
132;14.06.2018;18;31;13;8;15;10;-;5;0.04240954313253635
133;18.05.2018;17;33;13;8;14;10;-;5;0.03868629394945182
134;09.05.2018;18;32;13;8;15;9;-;5;0.04387387035306591
135;20.04.2018;17;32;12;10;15;10;-;4;0.14314775568559365
136;05.04.2018;18;33;12;9;14;10;-;4;0.04858105449537672
137;23.03.2018;19;33;12;9;13;10;-;4;0.06491145829415572
138;01.03.2018;18;34;11;9;15;9;-;4;0.0956661966117973
139;23.02.2018;17;34;12;9;14;10;-;4;0.08339146387820519
140;15.02.2018;16;33;13;9;15;11;-;3;0.07397775838019735
141;01.02.2018;18;33;11;10;14;11;-;3;0.05448321878079354
142;26.01.2018;19;33;11;10;12;10;-;5;0.03723985377002617
143;04.01.2018;21;33;11;9;13;9;-;4;0.08322113823232746
144;15.12.2017;20;32;12;9;13;9;-;5;0.07096535649579257
145;07.12.2017;21;32;11;9;13;10;-;4;0.07280331676616503
146;20.11.2017;22;32;11;10;11;10;-;4;0.04833115123359024
147;17.11.2017;21;31;11;11;12;10;-;4;0.05972263754885704
148;09.11.2017;21;30;11;12;13;9;-;4;0.05468497565864736
149;20.10.2017;21;31;11;12;12;9;-;4;0.041492703551527066
150;12.10.2017;20;32;10;11;11;10;-;6;0.0561875399375399
151;14.09.2017;20;37;7,5;9,5;12;9;-;5;0.06844833994833993
152;07.09.2017;21;37;8;9;11;10;-;4;0.04174041889483065
153;31.08.2017;23;37;8;8;11;9;-;4;0.058750636618283655
154;25.08.2017;22;38;8;9;10;9;-;4;0.07027242217810238
155;09.08.2017;24;39;8;8;8;9;-;4;0.04063286237924722
156;28.07.2017;23;40;8;8;9;8;-;4;0.05247688453646869
157;06.07.2017;23;39;8;9;9;9;-;3;0.02295471376353728
158;16.06.2017;24;39;7;9;8;8;-;5;0.02782736335765017
159;08.06.2017;24;38;7;10;9;8;-;4;0.03477238206490513
160;19.05.2017;26;38;8;9;9;6;-;4;0.02416416238996881
161;11.05.2017;27;37;8;8;10;7;-;3;0.050839598997493705
162;21.04.2017;30;35;7;6;10;8;-;4;0.0808448301291665
163;13.04.2017;31;34;8;6;11;7;-;3;0.1312968243018922
164;24.03.2017;32;32;8;6;11;7;-;4;0.05068060535414789
165;09.03.2017;31;32;8;6;11;8;-;4;0.043418200573372964
166;24.02.2017;32;31;8;6;11;7;-;5;0.031603924659287186
167;02.02.2017;28;34;8;6;12;8;-;4;0.022992001217807638
168;27.01.2017;23;35;9;6;14;8;-;5;0.034689331665138094
169;05.01.2017;20;37;9;5;15;9;-;5;0.09307685290443907
170;16.12.2016;21;36;10;6;13;9;-;5;0.08091841287437185
171;08.12.2016;22;35;11;5;13;9;-;5;0.059462365680774974
172;18.11.2016;23;32;13;6;12;9;-;5;0.03915789839362245
173;03.11.2016;22;33;12;6;13;9;-;5;0.05303361821388963
174;21.10.2016;22;33;12;5;14;9;-;5;0.08662624596667146
175;06.10.2016;22;33;11;6;14;9;-;5;0.09145661848588177
176;23.09.2016;22;32;12;6;16;8;-;4;0.0658130999265079
177;01.09.2016;23;33;11;5;14;9;-;5;0.06859701708966413
178;26.08.2016;22;33;12;5;13;9;-;6;0.07167646965513981
179;04.08.2016;22;34;13;5;12;9;-;5;0.04072398781513558
180;15.07.2016;22;33;14;6;12;8;-;5;0.06252771000873464
181;07.07.2016;22;34;13;6;12;9;-;4;0.04512850698290439
182;17.06.2016;21;31;14;7;14;9;-;4;0.048930877019112286
183;02.06.2016;21;32;13;6;15;9;-;4;0.01927637721755366
184;20.05.2016;21;32;12;7;15;9;-;4;0.03467089827383944
185;04.05.2016;20;33;13;6;15;8;-;5;0.061450803403243937
186;22.04.2016;21;33;12;7;14;8;-;5;0.027386772871650766
187;07.04.2016;21;34;13;7;14;7;-;4;0.05125009357810108
188;24.03.2016;22;34;12;7;13;8;-;4;0.04928623868839231
189;29.02.2016;23;36;10;6;11;9;-;5;0.0271795405824641
190;26.02.2016;23;37;11;6;10;8;-;5;0.0477398394789699
191;03.02.2016;24;35;10;5;12;9;-;5;0.0441881303399933
192;15.01.2016;25;37;10;4;10;8;-;6;0.06362046570233068
193;07.01.2016;24;39;11;4;9;8;-;5;0.07480152064941833
194;18.12.2015;24;38;10;4;10;8;-;6;0.04026093267472576
195;03.12.2015;25;37;11;4;10;8;-;5;0.055624411841841345
196;20.11.2015;25;37;10;5;9;8;-;6;0.050039640886023175
197;05.11.2015;24;37;11;5;8;9;-;6;0.051609544889717286
198;23.10.2015;24;38;11;5;8;9;-;5;0.06825589448865307
199;01.10.2015;24;40;10;5;6;9;-;6;0.07001201198182619
200;11.09.2015;25;42;11;4;4;9;-;5;0.045460314620492576
201;03.09.2015;24;42;12;4;4;8;-;6;0.061670567856732326
202;14.08.2015;24;42;11;4;4;9;-;6;0.047998619737750145
203;30.07.2015;24;42;11;5;4;9;-;5;0.07414793294596939
204;17.07.2015;24;41;11;6;4;9;-;5;0.03628921802834843
205;02.07.2015;25;40;11;5;5;10;-;4;0.06516362014400559
206;19.06.2015;25;40;10;5;5;10;-;5;0.0884629789854137
207;03.06.2015;25;40;10;6;5;9;-;5;0.05398148148148145
208;22.05.2015;26;41;9;5;5;9;-;5;0.046976086949124085
209;07.05.2015;25;40;10;4;6;9;-;6;0.06735505797830392
210;24.04.2015;24;41;11;4;6;8;-;6;0.06875879627016823
211;02.04.2015;25;41;10;4;6;9;-;5;0.06756699511227487
212;13.03.2015;24;41;11;4;6;9;-;5;0.060001801359559945
213;05.03.2015;25;41;10;4;6;9;-;5;0.07835564892120125
214;13.02.2015;24;42;10;3;7;8;-;6;0.1263772539241554
215;05.02.2015;25;41;10;3;6;9;-;6;0.09996692275005736
216;16.01.2015;25;41;10;4;6;8;-;6;0.050195708697010996
217;08.01.2015;26;41;10;3;6;8;-;6;0.09124569874569873
218;19.12.2014;25;42;10;-;6;8;-;9;0.054749150755342646
219;04.12.2014;26;40;11;2;7;9;-;5;0.062227281805777225
220;21.11.2014;26;41;11;3;6;8;-;5;0.06608733338060721
221;06.11.2014;25;41;10;3;7;9;-;5;0.045805116102831736
222;24.10.2014;26;40;10;2;7;9;-;6;0.09527468243439915
223;02.10.2014;24;41;9;2;9;10;-;5;0.07540362419897619
224;26.09.2014;25;39;10;3;8;10;-;5;0.06835244382175758
225;04.09.2014;24;40;10;3;7;10;-;6;0.12444291588161074
226;29.08.2014;25;42;9;3;5;9;-;7;0.1367388651619016
227;07.08.2014;26;41;10;3;5;9;-;6;0.1819805236270753
228;18.07.2014;26;40;10;4;4;10;-;6;0.1833787959116906
229;03.07.2014;26;39;11;4;5;9;-;6;0.10016447740712445
230;20.06.2014;25;39;12;4;6;8;-;6;0.0819861847910628
231;05.06.2014;26;38;11;4;7;9;-;5;0.05094338711411693
232;15.05.2014;26;39;11;4;6;9;-;5;0.0517720691779616
233;30.04.2014;26;40;10;4;5;9;-;6;0.14544181308887189
234;25.04.2014;25;41;10;4;5;10;-;5;0.13110554524840237
235;03.04.2014;26;41;10;4;5;9;-;5;0.05070110207104526
236;28.03.2014;25;41;10;4;5;8;-;7;0.07594225105149076
237;06.03.2014;24;42;11;4;4;9;-;6;0.11002357549775618
238;28.02.2014;26;40;10;4;5;9;-;6;0.05219265388450446
239;06.02.2014;27;41;9;4;5;9;-;5;0.05368663594470043
240;31.01.2014;27;42;9;4;4;8;-;6;0.04874478745358225
241;09.01.2014;27;41;9;4;4;8;-;7;0.05890533958275892
242;20.12.2013;27;42;9;4;4;8;-;6;0.04431376922210643
243;05.12.2013;25;43;10;3;4;9;-;6;0.027714482916095802
244;22.11.2013;25;42;10;3;4;9;-;7;0.02671175186178784
245;07.11.2013;26;42;10;3;4;9;-;6;0.06177228745904488
246;25.10.2013;27;40;9;4;5;9;-;6;0.04994007299889651
247;10.10.2013;26;42;8;3;4,5;9;-;7,5;0.04651800647663782
248;22.09.2013;25,7;41,5;8,4;4,8;4,7;8,6;-;4;0.08011739093315116
249;12.09.2013;28;40;10;5;2,5;8;-;4;0.07139962774990613
250;05.09.2013;27;41;10;5;3;8;-;6;0.13344284274666923
251;29.08.2013;26;41;11;5;3;8;-;6;0.11255691883611789
252;23.08.2013;24;42;12;5;3;9;-;3;0.05376881018463166
253;15.08.2013;25;42;12;5;-;8;-;5;0.05865913031879416
254;09.08.2013;25;42;13;5;-;7;-;5;0.07538851155230461
255;01.08.2013;26;42;13;5;-;7;-;7;0.03379390166028094
256;25.07.2013;25;42;14;4;2;7;-;6;0.01915944645502033
257;19.07.2013;26;41;13;4;3;7;-;6;0.029464817440623882
258;12.07.2013;26;41;14;4;3;6;-;6;0.05127269350095435
259;04.07.2013;25;42;14;4;-;7;-;5;0.02664909227409225
260;28.06.2013;26;41;13;4;-;7;-;6;0.03666376246578841
261;21.06.2013;25;41;14;5;-;7;-;8;0.04510037036856041
262;14.06.2013;26;41;15;4;2;7;-;5;0.0530168658643156
263;06.06.2013;27;41;14;4;3;6;-;5;0.08322174069962522
264;31.05.2013;26;42;14;4;3;6;-;5;0.12432222345032443
265;24.05.2013;27;41;14;4;2;6;-;4;0.05447002491391535
266;17.05.2013;26;41;14;4;3;6;-;3;0.07426874578660292
267;10.05.2013;27;40;14;5;3;6;-;5;0.08164423076923075
268;02.05.2013;26;40;15;4;3;7;-;5;0.03144670050009315
269;26.04.2013;27;40;14;4;3;7;-;5;0.03405431702150276
270;21.04.2013;27;41;14;4;3;7;-;4;0.03918826489360776
271;12.04.2013;27;42;15;4;-;7;-;3;0.08650172178973865
272;04.04.2013;27;41;14;4;-;8;-;3;0.0954207201392556
273;28.03.2013;28;39;15;4;-;8;-;3;0.11230612104242521
274;22.03.2013;27;38;16;5;-;8;-;4;0.1363040388629859
275;14.03.2013;25;40;17;5;-;7;-;3;0.0723537084779142
276;07.03.2013;26;40;17;4;-;7;-;4;0.03568536926965907
277;28.02.2013;27;41;15;4;-;6;-;4;0.043264885020103214
278;21.02.2013;28;40;15;5;-;6;-;3;0.054157363558799264
279;15.02.2013;27;40;16;4;-;7;-;3;0.06859754166255712
280;07.02.2013;29;39;15;4;-;6;-;4;0.08182403034376715
281;31.01.2013;27;40;15;4;-;6;-;4;0.05591201387097966
282;24.01.2013;27;42;14;4;-;6;-;4;0.0766894553065031
283;18.01.2013;26;42;13;4;-;7;-;4;0.07293714008359965
284;10.01.2013;28;41;14;4;-;6;-;4;0.0715657972295903
285;04.01.2013;29;41;12;4;-;6;-;4;0.04715197956577265
286;21.12.2012;30;40;13;4;-;7;-;3;0.0591764490793726
287;06.12.2012;30;39;14;4;-;7;-;3;0.05358044240762867
288;23.11.2012;29;39;15;4;-;6;-;3;0.12323662951612131
289;08.11.2012;30;40;14;4;-;6;-;2;0.046489197023533387
290;26.10.2012;30;38;13;4;-;7;-;3;0.07771101348180451
291;04.10.2012;31;39;11;4;-;7;-;4;0.0712831223962139
292;28.09.2012;30;37;12;4;-;7;-;4;0.07601952502655021
293;06.09.2012;30;37;13;4;-;6;-;4;0.047263841358174186
294;17.08.2012;29;36;13;5;-;6;-;4;0.09697191039518402
295;01.08.2012;28;36;13;5;-;6;-;4;0.12604329418984586
296;20.07.2012;30;35;14;4;-;6;-;3;0.08775340157949994
297;05.07.2012;30;35;14;4;-;7;-;3;0.054384526763559
298;22.06.2012;31;34;14;4;-;6;-;3;0.0592579527431902
299;06.06.2012;30;34;13;5;-;5;-;4;0.1001651337792642
300;25.05.2012;29;33;13;5;-;6;-;3;0.027492443193662702
301;18.05.2012;30;33;13;5;-;5;-;3;0.028841569213841338
302;03.05.2012;28;34;14;4;-;6;-;3;0.03885276390657786
303;12.04.2012;27;35;14;3;-;6;-;4;0.056559468628434126
304;04.04.2012;27;35;14;3;-;7;-;4;0.05757061974507778
305;16.03.2012;30;37;13;3;-;7;-;4;0.039052946537466646
306;01.03.2012;28;37;14;3;-;7;-;4;0.04052267562347304
307;17.02.2012;29;36;16;3;-;7;-;3;0.060394211334788575
308;02.02.2012;29;36;15;3;-;7;-;4;0.050734262907437745
309;19.01.2012;29;36;15;3;-;7;-;4;0.043654439901242945
310;05.01.2012;30;35;16;2;-;6;-;5;0.0288689269734634
311;23.12.2011;30;36;16;3;-;6;-;3;0.0326937884417471
312;01.12.2011;30;35;16;3;-;7;-;3;0.050061309173959144
313;25.11.2011;30;35;14;3;-;7;-;4;0.028992158959280024
314;03.11.2011;31;34;15;4;-;6;-;3;0.01901222651222649
315;28.10.2011;32;33;14;3;-;7;-;4;0.03900590150590147
316;06.10.2011;30;32;17;3;-;6;-;4;0.06887233823295202
317;26.09.2011;30;34;18;4;-;6;-;4;0.025814224177674004
318;16.09.2011;30;33;19;5;-;7;-;6;0.062361516866522394
319;09.09.2011;30;35;18;3;-;7;-;7;0.043644319200969416
320;01.09.2011;28;35;20;4;-;7;-;6;0.03427111133690079
321;19.08.2011;27;34;21;5;-;7;-;6;0.0479494962220952
322;04.08.2011;28;32;23;4;-;8;-;5;0.045766586319914274
323;22.07.2011;27;33;23;4;-;8;-;5;0.06199624640065813
324;07.07.2011;26;32;23;5;-;8;-;6;0.05051434252092145
325;24.06.2011;26;34;23;4;-;7;-;6;0.075518278018278
326;10.06.2011;25;33;24;5;-;8;-;5;0.08745416133574026
327;22.05.2011;26;33;23;4;-;8;-;6;0.03457588627847246
328;13.05.2011;26;33;22;5;-;8;-;6;0.05822473022473017
329;05.05.2011;26;35;23;4;-;7;-;5;0.04849561372749356
330;15.04.2011;26;33;24;4;-;8;-;5;0.08685764809902737
331;07.04.2011;27;33;23;5;-;7;-;5;0.09064112276357826
332;24.03.2011;27;35;21;5;-;7;-;5;0.0946246258718263
333;18.03.2011;28;35;20;5;-;7;-;5;0.06208677494003578
