;date;SPD;Union;Grüne;FDP;AfD;Linke;FW;Andere;standardized_war_articles
0;22.12.2023;14.0;32.0;14.0;5;21;3;4;7;0.14658849844408614
1;07.12.2023;14.0;32.0;15.0;4;21;3;3;8;0.18714531574069984
2;10.11.2023;15.0;30.0;15.0;5;21;4;3;7;0.19762641740329362
3;02.11.2023;16.0;30.0;14.0;4;22;5;3;6;0.1758686446186446
4;13.10.2023;15.0;29.0;13.0;5;23;4;4;7;0.23428181549299557
5;28.09.2023;16.0;28.0;14.0;6;22;4;3;7;0.1386864032025322
6;15.09.2023;16.0;28.0;15.0;7;22;4;-;8;0.10223788668372281
7;31.08.2023;16.0;29.0;14.0;6;22;4;-;9;0.06182021999127533
8;18.08.2023;17.0;27.0;14.0;7;21;4;-;10;0.10315031673114376
9;04.08.2023;17.0;27.0;15.0;7;21;4;-;9;0.1345712234356258
10;21.07.2023;18.0;28.0;13.0;7;20;4;-;10;0.11203305883757009
11;06.07.2023;18.0;28.0;14.0;7;20;4;-;9;0.11721170346170344
12;23.06.2023;17.0;29.0;15.0;6;19;4;-;10;0.11793656676860235
13;01.06.2023;18.0;29.0;15.0;7;18;4;-;9;0.1502865415634588
14;12.05.2023;18.0;28.0;16.0;8;16;5;-;9;0.13062051540312408
15;04.05.2023;17.0;30.0;16.0;7;16;5;-;9;0.1435973550259264
16;14.04.2023;19.0;29.0;17.0;7;15;4;-;9;0.15955730777159347
17;06.04.2023;18.0;30.0;17.0;7;15;4;-;9;0.1043323800177113
18;17.03.2023;18.0;30.0;16.0;7;15;5;-;9;0.09821023146100542
19;02.03.2023;18.0;31.0;17.0;6;14;5;-;9;0.20625558651874437
20;17.02.2023;19.0;29.0;17.0;6;15;5;-;9;0.08273730399774079
21;02.02.2023;20.0;27.0;18.0;7;15;4;-;9;0.13514827580911234
22;19.01.2023;19.0;29.0;19.0;6;14;4;-;9;0.10407667625254868
23;05.01.2023;18.0;29.0;19.0;6;15;5;-;8;0.15493662029671026
