;date;SPD;Union;Grüne;FDP;AfD;Linke;FW;Andere;standardized_war_articles
0;22.12.2023;14.0;32.0;14.0;5;21;3;4;7;0.15601795389682924
1;07.12.2023;14.0;32.0;15.0;4;21;3;3;8;0.17917106683832412
2;10.11.2023;15.0;30.0;15.0;5;21;4;3;7;0.18898603324947136
3;02.11.2023;16.0;30.0;14.0;4;22;5;3;6;0.1838005737504866
4;13.10.2023;15.0;29.0;13.0;5;23;4;4;7;0.16742150038437817
5;28.09.2023;16.0;28.0;14.0;6;22;4;3;7;0.11172222217501283
6;15.09.2023;16.0;28.0;15.0;7;22;4;-;8;0.08699232495257019
7;31.08.2023;16.0;29.0;14.0;6;22;4;-;9;0.07495862142219156
8;18.08.2023;17.0;27.0;14.0;7;21;4;-;10;0.10922385887141524
9;04.08.2023;17.0;27.0;15.0;7;21;4;-;9;0.11903057280146598
10;21.07.2023;18.0;28.0;13.0;7;20;4;-;10;0.09958307543994319
11;06.07.2023;18.0;28.0;14.0;7;20;4;-;9;0.12120656099284711
12;23.06.2023;17.0;29.0;15.0;6;19;4;-;10;0.10233691498182497
13;01.06.2023;18.0;29.0;15.0;7;18;4;-;9;0.14013384260727654
14;12.05.2023;18.0;28.0;16.0;8;16;5;-;9;0.14273956584515585
15;04.05.2023;17.0;30.0;16.0;7;16;5;-;9;0.12262658073633678
16;14.04.2023;19.0;29.0;17.0;7;15;4;-;9;0.1358035302263279
17;06.04.2023;18.0;30.0;17.0;7;15;4;-;9;0.10234519206994223
18;17.03.2023;18.0;30.0;16.0;7;15;5;-;9;0.11547887645158032
19;02.03.2023;18.0;31.0;17.0;6;14;5;-;9;0.16329894337529907
20;17.02.2023;19.0;29.0;17.0;6;15;5;-;9;0.09812785509311842
21;02.02.2023;20.0;27.0;18.0;7;15;4;-;9;0.13198699546257497
22;19.01.2023;19.0;29.0;19.0;6;14;4;-;9;0.11640110926755483
23;05.01.2023;18.0;29.0;19.0;6;15;5;-;8;0.14754333167154737
24;09.12.2022;18.0;29.0;18.0;6;15;5;-;9;0.12453928065760758
25;01.12.2022;18.0;30.0;18.0;5;15;5;-;9;0.13705970496272482
26;11.11.2022;18.0;28.0;19.0;7;14;4;-;10;0.10101194511725409
27;03.11.2022;19.0;28.0;19.0;6;14;5;-;9;0.10990693174478272
28;14.10.2022;19.0;26.0;20.0;6;15;5;-;9;0.11476769562644341
29;06.10.2022;17.0;28.0;19.0;7;15;5;-;9;0.11324391309082822
30;16.09.2022;17.0;28.0;21.0;7;14;5;-;8;0.13073532759189094
31;01.09.2022;17.0;27.0;22.0;8;13;5;-;8;0.13097191863695656
32;19.08.2022;18.0;28.0;23.0;7;12;4;-;8;0.17053505881709394
33;04.08.2022;17.0;28.0;23.0;7;13;4;-;8;0.15772161915515423
34;22.07.2022;19.0;27.0;22.0;7;12;4;-;9;0.1220198776589754
35;07.07.2022;19.0;27.0;23.0;8;11;4;-;8;0.12573065597025748
36;24.06.2022;20.0;26.0;23.0;8;12;4;-;7;0.1160642675356257
37;02.06.2022;21.0;27.0;21.0;8;11;4;-;8;0.15814556432692053
38;13.05.2022;22.0;26.0;20.0;8;11;4;-;9;0.23429093014877028
39;28.04.2022;24.0;26.0;18.0;9;11;3;-;9;0.2246793924482695
40;14.04.2022;24.0;26.0;18.0;8;11;4;-;9;0.2566620737012623
41;07.04.2022;24.0;25.0;19.0;9;11;4;-;8;0.28214333896652893
42;18.03.2022;25.0;26.0;17.0;9;11;4;-;8;0.34914958183126305
43;03.03.2022;25.0;26.0;16.0;9;11;5;-;8;0.22532635654959457
44;18.02.2022;24.0;26.0;15.0;9;12;5;-;9;0.08401265975058043
45;03.02.2022;22.0;27.0;16.0;10;12;5;-;8;0.10459148159912672
46;21.01.2022;25.0;24.0;16.0;10;12;5;-;8;0.06283570828605871
47;06.01.2022;26.0;23.0;16.0;11;11;5;-;8;0.05044461486354259
48;10.12.2021;26.0;23.0;16.0;12;11;5;-;7;0.041002059221267276
49;02.12.2021;25.0;23.0;17.0;12;11;5;-;7;0.017427734066514943
50;26.11.2021;25.0;21.0;17.0;13;11;5;-;8;0.020654108492047858
51;04.11.2021;27.0;21.0;16.0;13;10;5;-;8;0.04634009702098902
52;29.10.2021;26.0;22.0;16.0;13;10;4;-;9;0.04257939085345056
53;16.09.2021;26.0;22.0;15.0;11;11;6;3;6;0.027170914448728784
54;02.09.2021;25.0;20.0;16.0;13;12;6;-;8;0.03060145507037715
55;20.08.2021;21.0;23.0;17.0;13;11;7;-;8;0.034581452326776244
56;05.08.2021;18.0;27.0;19.0;12;10;6;-;8;0.04448575574093187
57;23.07.2021;16.0;29.0;19.0;12;10;6;-;8;0.028696551971390757
58;01.07.2021;15.0;28.0;20.0;11;11;7;-;8;0.04355917673890021
59;25.06.2021;15.0;28.0;21.0;11;12;6;3;4;0.036546357818653806
60;10.06.2021;14.0;28.0;20.0;12;12;7;-;7;0.01961286062908105
61;14.05.2021;15.0;24.0;25.0;12;11;7;-;6;0.05679700267886947
62;06.05.2021;14.0;23.0;26.0;11;12;6;3;5;0.02421247778390633
63;16.04.2021;15.0;28.0;21.0;11;11;7;-;7;0.061696782998198266
64;01.04.2021;16.0;27.0;22.0;9;11;7;-;8;0.02475689471695109
65;19.03.2021;17.0;29.0;20.0;9;11;7;-;7;0.040295740908429016
66;04.03.2021;16.0;33.0;20.0;7;11;7;-;6;0.04216829769561594
67;19.02.2021;16.0;33.0;20.0;8;11;6;-;6;0.03641621390771963
68;04.02.2021;15.0;34.0;21.0;8;10;6;-;6;0.011580585313304201
69;22.01.2021;15.0;34.0;21.0;7;10;6;-;7;0.021006583872599828
70;07.01.2021;14.0;35.0;21.0;7;10;7;-;6;0.03442268515797925
71;11.12.2020;16.0;36.0;20.0;6;9;7;-;6;0.026372653562868036
72;03.12.2020;15.0;36.0;21.0;6;10;7;-;5;0.040888837174584594
73;27.11.2020;15.0;35.0;21.0;7;11;7;-;4;0.03964224697307401
74;12.11.2020;15.0;36.0;20.0;6;10;7;-;6;0.04337468201124298
75;16.10.2020;15.0;35.0;20.0;6;11;7;-;6;0.03767397744037312
76;01.10.2020;15.0;35.0;21.0;6;10;8;-;5;0.05188485005504129
77;18.09.2020;16.0;36.0;20.0;5;10;8;-;5;0.022138179390202538
78;03.09.2020;17.0;36.0;19.0;6;10;7;-;5;0.03294430831850053
79;21.08.2020;16.0;37.0;17.0;6;10;8;-;6;0.028540807563363933
80;06.08.2020;15.0;38.0;18.0;6;11;7;-;5;0.062050463499876286
81;24.07.2020;14.0;37.0;20.0;5;11;7;-;6;0.039184093626818066
82;02.07.2020;16.0;37.0;20.0;5;10;7;-;5;0.02768163665600527
83;26.06.2020;16.0;37.0;20.0;5;10;7;-;5;0.033860843698551545
84;04.06.2020;15.0;38.0;19.0;6;9;8;-;5;0.03294349227818725
85;15.05.2020;15.0;38.0;18.0;6;10;7;-;6;0.035714538410840775
86;07.05.2020;16.0;39.0;18.0;5;9;8;-;5;0.029145258399985854
87;17.04.2020;17.0;38.0;19.0;5;9;7;-;5;0.030421722117874257
88;02.04.2020;16.0;34.0;22.0;5;10;7;-;6;0.02781694574381476
89;20.03.2020;14.0;30.0;23.0;7;10;9;-;7;0.030764250791960133
90;05.03.2020;16.0;27.0;23.0;6;12;9;-;7;0.03120068962940593
91;13.02.2020;16.0;26.0;22.0;7;14;9;-;6;0.023363253059527193
92;06.02.2020;14.0;27.0;22.0;8;14;9;-;6;0.034855380213419045
93;24.01.2020;14.0;26.0;24.0;8;14;8;-;6;0.07515049206028311
94;09.01.2020;13.0;27.0;23.0;9;14;8;-;6;0.1329476173395637
95;13.12.2019;14.0;27.0;21.0;8;15;8;-;7;0.052602458687948446
96;05.12.2019;13.0;25.0;23.0;9;15;8;-;7;0.0325986416760154
97;15.11.2019;15.0;25.0;22.0;7;14;9;-;8;0.033997043555885634
98;07.11.2019;14.0;26.0;22.0;8;14;9;-;7;0.032058851156914085
99;18.10.2019;14.0;28.0;22.0;7;14;8;-;7;0.03693926391053991
100;11.10.2019;13.0;28.0;24.0;7;14;8;-;6;0.03384963523201406
101;20.09.2019;14.0;27.0;23.0;8;14;8;-;6;0.07050239244156001
102;05.09.2019;14.0;27.0;23.0;7;15;7;-;7;0.021849392063962556
103;23.08.2019;14.0;26.0;25.0;7;14;7;-;7;0.04748514810129352
104;01.08.2019;12.0;26.0;26.0;8;14;7;-;7;0.06829441026809445
105;26.07.2019;13.0;26.0;26.0;9;12;8;-;6;0.046159113674676164
106;04.07.2019;13.0;25.0;26.0;8;13;8;-;7;0.05457248708657466
107;28.06.2019;13.0;26.0;25.0;9;12;7;-;8;0.06788981499455125
108;06.06.2019;12.0;25.0;26.0;8;13;7;-;9;0.036087676938017496
109;17.05.2019;17.0;29.0;18.0;8;13;8;-;7;0.08095513330271029
110;02.05.2019;18.0;28.0;20.0;8;12;9;-;5;0.04577566868325036
111;18.04.2019;16.0;29.0;21.0;8;13;8;-;5;0.021850524137109476
112;04.04.2019;17.0;29.0;20.0;9;12;8;-;5;0.01702630274058844
113;22.03.2019;18.0;29.0;19.0;9;12;8;-;5;0.028310446882491732
114;15.03.2019;17.0;29.0;19.0;8;13;9;-;5;0.03974984209117333
115;22.02.2019;18.0;30.0;18.0;8;12;8;-;6;0.021134928788333385
116;14.02.2019;17.0;29.0;19.0;9;13;8;-;5;0.023876002490541552
117;25.01.2019;15.0;28.0;20.0;9;15;8;-;5;0.014501531606794757
118;10.01.2019;15.0;29.0;20.0;9;14;9;-;4;0.06187550011578609
119;14.12.2018;15.0;31.0;20.0;8;13;8;-;5;0.01809315001882982
120;06.12.2018;14.0;30.0;20.0;8;14;8;-;6;0.056327760936367564
121;30.11.2018;14.0;28.0;21.0;9;15;8;-;5;0.053422848928075396
122;15.11.2018;14.0;26.0;23.0;8;14;9;-;6;0.048240169446621364
123;19.10.2018;14.0;25.0;19.0;11;16;9;-;6;0.01852675921793336
124;11.10.2018;15.0;26.0;17.0;10;16;10;-;6;0.030806229178108175
125;21.09.2018;17.0;28.0;15.0;9;18;10;-;3;0.04189000031079685
126;06.09.2018;18.0;29.0;14.0;8;16;10;-;5;0.0268632673010553
