;date;war articles;total articles;standardized
0;01.01.2000;0.0;5;0.0
1;02.01.2000;0.0;5;0.0
2;03.01.2000;0.0;17;0.0
3;04.01.2000;0.0;16;0.0
4;05.01.2000;0.0;16;0.0
5;06.01.2000;0.0;18;0.0
6;07.01.2000;1.0;20;0.05
7;08.01.2000;1.0;29;0.034482758620689655
8;09.01.2000;0.0;15;0.0
9;10.01.2000;1.0;19;0.05263157894736842
10;11.01.2000;0.0;28;0.0
11;12.01.2000;0.0;24;0.0
12;13.01.2000;1.0;16;0.0625
13;14.01.2000;1.0;21;0.047619047619047616
14;15.01.2000;0.0;26;0.0
15;16.01.2000;0.0;10;0.0
16;17.01.2000;0.0;29;0.0
17;18.01.2000;0.0;36;0.0
18;19.01.2000;1.0;29;0.034482758620689655
19;20.01.2000;1.0;31;0.03225806451612903
20;21.01.2000;1.0;30;0.03333333333333333
21;22.01.2000;0.0;26;0.0
22;23.01.2000;0.0;18;0.0
23;24.01.2000;1.0;28;0.03571428571428571
24;25.01.2000;0.0;28;0.0
25;26.01.2000;0.0;30;0.0
26;27.01.2000;0.0;20;0.0
27;28.01.2000;0.0;18;0.0
28;29.01.2000;0.0;27;0.0
29;30.01.2000;0.0;10;0.0
30;31.01.2000;0.0;22;0.0
31;01.02.2000;1.0;21;0.047619047619047616
32;02.02.2000;0.0;24;0.0
33;03.02.2000;0.0;32;0.0
34;04.02.2000;0.0;29;0.0
35;05.02.2000;1.0;25;0.04
36;06.02.2000;0.0;10;0.0
37;07.02.2000;0.0;20;0.0
38;08.02.2000;0.0;31;0.0
39;09.02.2000;1.0;28;0.03571428571428571
40;10.02.2000;0.0;19;0.0
41;11.02.2000;0.0;19;0.0
42;12.02.2000;2.0;33;0.06060606060606061
43;13.02.2000;1.0;11;0.09090909090909091
44;14.02.2000;0.0;26;0.0
45;15.02.2000;0.0;33;0.0
46;16.02.2000;0.0;29;0.0
47;17.02.2000;1.0;14;0.07142857142857142
48;18.02.2000;0.0;19;0.0
49;19.02.2000;1.0;27;0.037037037037037035
50;20.02.2000;0.0;6;0.0
51;21.02.2000;0.0;30;0.0
52;22.02.2000;0.0;28;0.0
53;23.02.2000;0.0;25;0.0
54;24.02.2000;0.0;24;0.0
55;25.02.2000;0.0;23;0.0
56;26.02.2000;0.0;29;0.0
57;27.02.2000;0.0;25;0.0
58;28.02.2000;0.0;15;0.0
59;29.02.2000;0.0;25;0.0
60;01.03.2000;0.0;13;0.0
61;02.03.2000;0.0;32;0.0
62;03.03.2000;1.0;15;0.06666666666666667
63;04.03.2000;0.0;13;0.0
64;05.03.2000;0.0;8;0.0
65;06.03.2000;0.0;15;0.0
66;07.03.2000;1.0;24;0.041666666666666664
67;08.03.2000;0.0;26;0.0
68;09.03.2000;2.0;27;0.07407407407407407
69;10.03.2000;0.0;24;0.0
70;11.03.2000;0.0;22;0.0
71;12.03.2000;0.0;6;0.0
72;13.03.2000;0.0;17;0.0
73;14.03.2000;1.0;21;0.047619047619047616
74;15.03.2000;1.0;29;0.034482758620689655
75;16.03.2000;0.0;25;0.0
76;17.03.2000;0.0;34;0.0
77;18.03.2000;0.0;27;0.0
78;19.03.2000;0.0;14;0.0
79;20.03.2000;0.0;19;0.0
80;21.03.2000;0.0;18;0.0
81;22.03.2000;1.0;19;0.05263157894736842
82;23.03.2000;0.0;25;0.0
83;24.03.2000;1.0;21;0.047619047619047616
84;25.03.2000;0.0;26;0.0
85;26.03.2000;0.0;15;0.0
86;27.03.2000;2.0;23;0.08695652173913043
87;28.03.2000;0.0;14;0.0
88;29.03.2000;0.0;14;0.0
89;30.03.2000;0.0;19;0.0
90;31.03.2000;1.0;21;0.047619047619047616
91;01.04.2000;1.0;22;0.045454545454545456
92;02.04.2000;0.0;15;0.0
93;03.04.2000;1.0;18;0.05555555555555555
94;04.04.2000;0.0;17;0.0
95;05.04.2000;0.0;20;0.0
96;06.04.2000;0.0;19;0.0
97;07.04.2000;2.0;19;0.10526315789473684
98;08.04.2000;1.0;21;0.047619047619047616
99;09.04.2000;0.0;7;0.0
100;10.04.2000;0.0;31;0.0
101;11.04.2000;1.0;20;0.05
102;12.04.2000;0.0;14;0.0
103;13.04.2000;1.0;19;0.05263157894736842
104;14.04.2000;2.0;28;0.07142857142857142
105;15.04.2000;0.0;4;0.0
106;16.04.2000;0.0;6;0.0
107;17.04.2000;0.0;14;0.0
108;18.04.2000;0.0;13;0.0
109;19.04.2000;0.0;17;0.0
110;20.04.2000;0.0;16;0.0
111;21.04.2000;0.0;7;0.0
112;22.04.2000;0.0;8;0.0
113;23.04.2000;0.0;9;0.0
114;24.04.2000;0.0;7;0.0
115;25.04.2000;1.0;12;0.08333333333333333
116;26.04.2000;0.0;20;0.0
117;27.04.2000;0.0;17;0.0
118;28.04.2000;2.0;19;0.10526315789473684
119;29.04.2000;0.0;9;0.0
120;30.04.2000;1.0;11;0.09090909090909091
121;01.05.2000;0.0;15;0.0
122;02.05.2000;1.0;23;0.043478260869565216
123;03.05.2000;0.0;11;0.0
124;04.05.2000;1.0;12;0.08333333333333333
125;05.05.2000;1.0;10;0.1
126;06.05.2000;0.0;18;0.0
127;07.05.2000;0.0;5;0.0
128;08.05.2000;0.0;17;0.0
129;09.05.2000;2.0;12;0.16666666666666666
130;10.05.2000;1.0;11;0.09090909090909091
131;11.05.2000;0.0;20;0.0
132;12.05.2000;0.0;22;0.0
133;13.05.2000;0.0;19;0.0
134;14.05.2000;1.0;23;0.043478260869565216
135;15.05.2000;2.0;16;0.125
136;16.05.2000;1.0;19;0.05263157894736842
137;17.05.2000;0.0;21;0.0
138;18.05.2000;1.0;15;0.06666666666666667
139;19.05.2000;1.0;24;0.041666666666666664
140;20.05.2000;2.0;23;0.08695652173913043
141;21.05.2000;0.0;11;0.0
142;22.05.2000;0.0;18;0.0
143;23.05.2000;0.0;16;0.0
144;24.05.2000;1.0;21;0.047619047619047616
145;25.05.2000;1.0;16;0.0625
146;26.05.2000;0.0;18;0.0
147;27.05.2000;1.0;22;0.045454545454545456
148;28.05.2000;0.0;6;0.0
149;29.05.2000;0.0;20;0.0
150;30.05.2000;0.0;23;0.0
151;31.05.2000;0.0;23;0.0
152;01.06.2000;2.0;13;0.15384615384615385
153;02.06.2000;0.0;22;0.0
154;03.06.2000;0.0;24;0.0
155;04.06.2000;0.0;9;0.0
156;05.06.2000;0.0;22;0.0
157;06.06.2000;0.0;24;0.0
158;07.06.2000;0.0;33;0.0
159;08.06.2000;1.0;24;0.041666666666666664
160;09.06.2000;0.0;29;0.0
161;10.06.2000;0.0;9;0.0
162;11.06.2000;0.0;7;0.0
163;12.06.2000;0.0;7;0.0
164;13.06.2000;0.0;21;0.0
165;14.06.2000;0.0;26;0.0
166;15.06.2000;0.0;21;0.0
167;16.06.2000;0.0;23;0.0
168;17.06.2000;1.0;22;0.045454545454545456
169;18.06.2000;0.0;10;0.0
170;19.06.2000;0.0;14;0.0
171;20.06.2000;1.0;19;0.05263157894736842
172;21.06.2000;0.0;17;0.0
173;22.06.2000;0.0;16;0.0
174;23.06.2000;0.0;20;0.0
175;24.06.2000;0.0;31;0.0
176;25.06.2000;1.0;12;0.08333333333333333
177;26.06.2000;0.0;20;0.0
