date;SPD;Union;Grüne;FDP;AfD;Linke;FW;Andere
22.12.2023;14;32;14;5;21;3;4;7
07.12.2023;14;32;15;4;21;3;3;8
10.11.2023;15;30;15;5;21;4;3;7
02.11.2023;16;30;14;4;22;5;3;6
13.10.2023;15;29;13;5;23;4;4;7
28.09.2023;16;28;14;6;22;4;3;7
15.09.2023;16;28;15;7;22;4;-;8
31.08.2023;16;29;14;6;22;4;-;9
18.08.2023;17;27;14;7;21;4;-;10
04.08.2023;17;27;15;7;21;4;-;9
21.07.2023;18;28;13;7;20;4;-;10
06.07.2023;18;28;14;7;20;4;-;9
23.06.2023;17;29;15;6;19;4;-;10
01.06.2023;18;29;15;7;18;4;-;9
12.05.2023;18;28;16;8;16;5;-;9
04.05.2023;17;30;16;7;16;5;-;9
14.04.2023;19;29;17;7;15;4;-;9
06.04.2023;18;30;17;7;15;4;-;9
17.03.2023;18;30;16;7;15;5;-;9
02.03.2023;18;31;17;6;14;5;-;9
17.02.2023;19;29;17;6;15;5;-;9
02.02.2023;20;27;18;7;15;4;-;9
19.01.2023;19;29;19;6;14;4;-;9
05.01.2023;18;29;19;6;15;5;-;8
09.12.2022;18;29;18;6;15;5;-;9
01.12.2022;18;30;18;5;15;5;-;9
11.11.2022;18;28;19;7;14;4;-;10
03.11.2022;19;28;19;6;14;5;-;9
14.10.2022;19;26;20;6;15;5;-;9
06.10.2022;17;28;19;7;15;5;-;9
16.09.2022;17;28;21;7;14;5;-;8
01.09.2022;17;27;22;8;13;5;-;8
19.08.2022;18;28;23;7;12;4;-;8
04.08.2022;17;28;23;7;13;4;-;8
22.07.2022;19;27;22;7;12;4;-;9
07.07.2022;19;27;23;8;11;4;-;8
24.06.2022;20;26;23;8;12;4;-;7
02.06.2022;21;27;21;8;11;4;-;8
13.05.2022;22;26;20;8;11;4;-;9
28.04.2022;24;26;18;9;11;3;-;9
14.04.2022;24;26;18;8;11;4;-;9
07.04.2022;24;25;19;9;11;4;-;8
18.03.2022;25;26;17;9;11;4;-;8
03.03.2022;25;26;16;9;11;5;-;8
18.02.2022;24;26;15;9;12;5;-;9
03.02.2022;22;27;16;10;12;5;-;8
21.01.2022;25;24;16;10;12;5;-;8
